department,date,shift,patient_admissions,opd_visits,bed_occupancy_rate,emergency_cases
Emergency,2026-01-01,morning,50,167,81.7,17
Emergency,2026-01-01,evening,42,152,70.9,16
Emergency,2026-01-01,night,30,113,52.4,10
ICU,2026-01-01,morning,28,71,88.7,12
ICU,2026-01-01,evening,25,62,77.9,12
ICU,2026-01-01,night,15,43,58.9,9
Pediatrics,2026-01-01,morning,30,124,71.3,6
Pediatrics,2026-01-01,evening,27,100,62.6,5
Pediatrics,2026-01-01,night,20,79,45.1,3
Cardiology,2026-01-01,morning,25,89,77.2,7
Cardiology,2026-01-01,evening,19,75,68.0,6
Cardiology,2026-01-01,night,13,58,48.8,4
Emergency,2026-01-02,morning,49,178,82.8,17
Emergency,2026-01-02,evening,46,158,74.1,16
Emergency,2026-01-02,night,34,117,56.0,12
ICU,2026-01-02,morning,27,69,93.2,14
ICU,2026-01-02,evening,23,59,81.5,12
ICU,2026-01-02,night,19,46,60.7,8
Pediatrics,2026-01-02,morning,34,119,71.7,7
Pediatrics,2026-01-02,evening,27,108,63.1,6
Pediatrics,2026-01-02,night,22,75,48.7,3
Cardiology,2026-01-02,morning,25,96,79.9,6
Cardiology,2026-01-02,evening,20,81,69.8,6
Cardiology,2026-01-02,night,16,56,52.4,4
Emergency,2026-01-03,morning,53,183,84.8,19
Emergency,2026-01-03,evening,46,162,76.0,17
Emergency,2026-01-03,night,35,114,56.6,13
ICU,2026-01-03,morning,28,68,95.8,13
ICU,2026-01-03,evening,23,68,82.0,11
ICU,2026-01-03,night,17,46,60.3,7
Pediatrics,2026-01-03,morning,34,126,75.8,7
Pediatrics,2026-01-03,evening,27,107,65.4,7
Pediatrics,2026-01-03,night,21,78,49.4,5
Cardiology,2026-01-03,morning,24,95,82.3,7
Cardiology,2026-01-03,evening,22,81,70.1,4
Cardiology,2026-01-03,night,14,59,53.0,3
Emergency,2026-01-04,morning,54,185,86.6,19
Emergency,2026-01-04,evening,44,156,76.8,16
Emergency,2026-01-04,night,36,121,56.3,11
ICU,2026-01-04,morning,30,78,96.5,14
ICU,2026-01-04,evening,23,67,85.7,13
ICU,2026-01-04,night,20,49,62.1,9
Pediatrics,2026-01-04,morning,32,130,76.2,6
Pediatrics,2026-01-04,evening,29,108,68.1,6
Pediatrics,2026-01-04,night,21,79,48.8,3
Cardiology,2026-01-04,morning,22,91,82.4,7
Cardiology,2026-01-04,evening,19,84,72.7,4
Cardiology,2026-01-04,night,14,66,53.0,5
Emergency,2026-01-05,morning,53,183,88.7,19
Emergency,2026-01-05,evening,45,157,78.8,17
Emergency,2026-01-05,night,36,121,56.9,11
ICU,2026-01-05,morning,27,75,97.7,14
ICU,2026-01-05,evening,24,69,83.9,13
ICU,2026-01-05,night,18,46,63.6,8
Pediatrics,2026-01-05,morning,36,128,78.0,6
Pediatrics,2026-01-05,evening,30,116,66.9,5
Pediatrics,2026-01-05,night,22,82,49.8,5
Cardiology,2026-01-05,morning,24,101,82.2,5
Cardiology,2026-01-05,evening,20,86,73.7,4
Cardiology,2026-01-05,night,15,66,53.9,5
Emergency,2026-01-06,morning,51,178,89.4,19
Emergency,2026-01-06,evening,47,159,78.5,17
Emergency,2026-01-06,night,36,119,58.9,12
ICU,2026-01-06,morning,27,73,96.0,14
ICU,2026-01-06,evening,24,66,84.6,13
ICU,2026-01-06,night,20,44,63.1,10
Pediatrics,2026-01-06,morning,34,134,75.4,8
Pediatrics,2026-01-06,evening,28,115,68.3,5
